10,00
45902,11,00
45913,11,00
45923,11,00
45933,11,00
45944,11,00
45954,11,00
45965,01,00
45975,01,00
45985,01,00
45996,01,00
46006,01,00
46017,11,00
46027,10,00
46037,10,00
46048,00,00
46058,00,00
46068,01,00
46079,01,00
46089,11,00
46100,11,00
46111,11,00
46121,11,00
46131,11,00
46142,11,00
46152,11,00
46162,01,00
46173,00,00
46183,01,00
46193,01,00
46204,01,00
46214,00,00
46224,01,00
46235,01,00
46245,00,00
46255,01,00
46266,01,00
46276,01,00
46287,01,00
46297,01,00
46307,01,00
46318,01,00
46328,01,00
46339,01,00
46350,00,00
46361,00,00
46371,00,00
46381,01,10
46392,01,10
46402,01,10
46412,01,10
46423,01,10
46433,01,10
46444,01,10
46455,01,10
46465,01,10
46476,00,10
46486,00,10
46496,00,10
46507,00,10
46517,00,10
46528,00,10
46539,00,10
46549,00,10
46559,00,10
46569,00,10
46580,00,10
46590,00,10
46601,00,10
46612,00,10
46622,00,10
46632,00,10
46643,00,10
46653,00,10
46663,00,10
46674,00,10
46684,00,00
46694,00,00
46705,00,00
46715,00,10
46725,00,10
46736,00,10
46747,00,10
46757,00,00
46768,00,01
46779,00,00
46790,00,01
46800,00,11
46811,00,11
46821,00,11
46831,00,11
46842,00,11
46853,00,11
46863,00,11
46873,00,11
46883,00,11
46893,00,11
46904,00,11
46914,00,11
46925,00,01
46935,00,01
46945,00,01
46956,00,11
46966,00,11
46976,00,11
46987,00,01
46997,00,00
47008,00,00
47019,00,00
47029,00,00
47040,00,00
47051,00,00
47061,00,00
47071,00,00
47082,00,00
47093,00,00
47103,00,00
47113,00,01
47123,00,01
47133,00,00
47144,00,00
47154,00,00
47164,00,00
47175,00,00
47185,00,00
47195,00,00
47205,00,00
47216,00,00
47227,00,00
47237,00,00
47248,00,00
47259,00,00
47269,00,00
47279,00,00
47290,00,00
47300,00,00
47311,00,00
47322,00,00
47332,00,00
47342,00,00
47353,00,00
47363,00,00
47374,00,00
47384,00,00
47394,00,00
47404,00,00
47414,00,00
47425,00,00
47435,00,00
47445,00,00
47456,00,00
47466,00,00
47476,00,00
47487,00,00
47497,00,00
47507,00,00
47518,00,00
47529,00,00
47539,00,00
47549,00,00
47560,00,00
47570,00,00
47581,00,00
47592,00,00
47602,00,00
47612,00,00
47623,00,00
47633,00,00
47643,00,00
47654,00,00
47664,00,00
47675,00,00
47685,00,00
47696,00,00
47707,00,00
47717,00,00
47728,00,00
47738,00,00
47748,00,00
47759,00,00
47770,00,00
47780,00,00
47791,00,00
47802,00,00
47812,00,00
47823,00,00
47833,00,00
47843,10,00
47853,10,00
47863,10,00
47874,00,00
47884,00,00
47895,00,00
47906,00,00
47916,00,00
47927,00,00
47937,00,00
47948,00,00
47958,00,00
47969,00,00
47980,00,00
47990,00,00
48000,00,00
48011,10,00
48021,10,00
48032,10,00
48043,10,00
48053,10,00
48063,10,00
48074,10,00
48084,10,00
48095,10,00
48105,10,00
48115,10,00
48126,10,00
48137,10,00
48147,10,00
48158,10,00
48169,10,00
48179,10,00
48189,10,00
48200,10,00
48210,10,00
48220,10,00
48230,10,00
48241,10,00
48252,10,00
48262,10,00
48273,10,00
48283,10,00
48293,10,00
48304,10,00
48314,00,00
48324,00,00
48335,01,00
48345,00,00
48356,01,00
48366,00,00
48376,01,00
48387,01,00
48397,01,00
48407,01,00
48418,00,00
48428,00,00
48438,00,00
48449,00,00
48459,01,00
48470,01,10
48480,01,10
48491,00,10
48501,00,00
48512,00,00
48522,00,00
48532,00,00
48543,00,00
48553,00,00
48564,00,00
48574,00,00
48584,00,00
48594,01,00
48605,01,00
48615,01,00
48626,01,00
48636,01,00
48646,01,00
48657,01,00
48668,01,00
48678,01,00
48689,00,00
48699,00,00
48709,01,00
48720,01,00
48730,00,00
48740,00,00
48751,00,00
48761,11,00
48772,11,00
48782,01,00
48792,01,00
48802,01,00
48813,01,00
48823,01,00
48833,01,00
48844,11,00
48855,11,00
48865,11,00
48875,11,00
48886,01,00
48896,01,00
48907,01,00
48917,01,00
48927,01,00
48938,01,00
48948,01,00
48959,01,00
48969,01,00
48979,01,00
48990,01,00
49000,01,00
49011,01,00
49022,01,00
49032,01,00
49042,01,00
49052,01,00
49062,01,00
49073,01,00
49083,01,00
49094,01,00
49104,01,00
49114,01,00
49124,01,00
49135,01,00
49146,00,00
49156,00,00
49166,00,00
49176,00,00
49187,01,00
49198,01,00
49208,01,00
49218,01,00
49229,01,00
49239,01,00
49249,01,00
49260,01,00
49270,01,00
49281,01,00
49291,01,00
49302,01,00
49312,01,00
49323,01,00
49333,01,00
49343,01,00
49354,01,00
49365,01,00
49375,01,00
49386,01,00
49396,01,00
49406,01,00
49417,00,00
49428,00,00
49438,00,10
49448,00,10
49459,00,10
49469,00,10
49479,00,10
49490,00,10
49501,00,10
49511,00,10
49521,00,10
49532,01,00
49542,01,00
49552,01,00
49563,01,00
49573,01,00
49584,01,00
49594,01,00
49604,01,00
49614,01,00
49625,01,00
49635,01,00
49646,01,00
49656,01,00
49666,01,00
49676,01,10
49687,01,00
49697,01,00
49708,01,00
49718,01,00
49729,01,00
49739,01,00
49749,00,00
49759,00,00
49770,00,00
49780,00,00
49790,00,00
49801,00,00
49811,00,00
49822,00,00
49832,00,00
49843,00,00
49853,00,00
49864,01,00
49875,01,00
49885,01,00
49895,01,00
49906,01,00
49916,01,00
49926,01,00
49937,01,00
49948,01,00
49958,01,00
49968,01,00
49979,01,00
49989,01,00
50000,01,00
50010,01,00
50021,01,00
50032,01,00
50042,01,00
50053,01,00
50063,01,00
50074,01,00
50084,01,00
50094,01,00
50104,01,00
50115,01,00
50125,01,00
50136,01,00
50146,01,00
50156,01,00
50167,01,00
50177,01,00
50188,01,00
50198,01,00
50208,01,00
50218,01,00
50228,01,00
50239,01,00
50250,01,00
50260,01,00
50271,01,00
50282,01,00
50292,01,00
50303,01,00
50313,01,00
50324,00,00
50334,00,00
50344,00,00
50355,00,00
50365,00,00
50376,01,00
50386,01,00
50396,01,00
50407,01,00
50417,00,00
50427,00,00
50438,00,00
50448,01,00
50459,01,00
50469,01,00
50480,01,00
50491,01,00
50501,01,00
50511,01,00
50522,01,00
50532,01,00
50543,01,00
50553,00,00
50563,00,00
50574,00,00
50584,00,00
50595,00,00
50605,00,10
50616,00,10
50626,00,10
50636,00,10
50647,00,10
50657,00,10
50667,00,10
50678,00,10
50688,00,10
50698,00,10
50708,00,10
50719,00,00
50729,00,00
50740,00,00
50750,00,00
50760,00,10
50771,00,00
50781,00,10
50791,00,10
50802,00,10
50812,00,10
50822,00,10
50833,00,10
50843,00,10
50853,00,10
50864,00,10
50874,00,10
50885,00,10
50895,00,10
50906,00,10
50917,00,10
50927,00,10
50937,00,10
50947,00,10
50958,00,10
50969,00,10
50979,00,10
50989,00,11
51000,00,11
51010,00,01
51021,00,01
51031,00,01
51041,00,01
51052,00,01
51063,00,01
51073,00,01
51084,00,00
51094,00,01
51105,00,01
51115,00,01
51126,00,01
51136,00,00
51146,00,00
51157,00,00
51167,00,00
51177,00,00
51188,00,00
51199,00,00
51209,00,00
51219,00,00
51230,00,00
51240,00,00
51250,00,00
51261,00,00
51272,00,00
51282,00,00
51292,00,00
51303,00,00
51313,00,00
51324,00,00
51334,00,00
51344,00,00
51354,00,00
51364,00,00
51375,00,00
51385,00,00
51395,00,00
51405,00,00
51415,00,00
51426,00,00
51436,00,00
51447,00,00
51457,00,00
51467,00,01
51477,00,01
51487,00,01
51498,00,01
51508,00,01
51518,00,01
51529,00,01
51539,00,01
51550,00,00
51560,00,00
51570,00,01
51580,00,00
51591,00,00
51601,00,00
51612,00,00
51622,00,00
51633,00,00
51643,00,00
51653,00,00
51663,00,00
51674,00,00
51684,00,00
51695,00,00
51706,00,00
51716,00,00
51727,00,00
51738,00,00
51748,00,00
51759,00,00
51769,00,00
51779,00,00
51790,00,00
51800,00,00
51810,00,00
51821,00,00
51832,00,00
51842,00,00
51853,00,00
51863,00,00
51874,00,00
51885,00,00
51896,00,00
51906,00,00
51918,00,00
51928,00,00
51939,00,00
51949,00,00
51960,00,00
51971,00,00
51981,00,00
51991,00,00
52002,00,00
52012,00,00
52023,00,00
52037,00,00
52050,00,00
52061,00,00
52071,00,00
52082,00,00
52093,00,00
52103,00,00
52114,00,00
52125,00,00
52135,00,00
52146,00,00
52157,00,00
52167,00,00
52178,00,00
52189,00,00
52199,00,00
52210,00,00
52221,00,00
52231,00,00
52242,00,00
52253,00,00
52263,00,00
52274,00,00
52284,00,00
52294,00,00
52305,00,00
52316,00,00
52326,00,00
52337,00,00
52347,00,00
52357,00,00
52367,00,00
52378,00,00
52388,00,00
52399,00,00
52409,00,00
52420,00,00
52430,00,00
52440,00,00
52451,00,00
52461,00,00
52472,00,00
52482,00,00
52493,00,00
52503,00,00
52513,00,00
52524,00,00
52534,00,00
52544,00,00
52554,00,00
52565,00,00
52575,00,00
52586,00,00
52597,00,00
52607,00,00
52617,00,00
52628,00,00
52638,00,00
52648,00,00
52659,00,00
52669,00,00
52679,00,00
52690,00,00
52700,00,00
52711,00,00
52721,00,00
52731,00,00
52742,00,00
52752,00,00
52763,00,00
52773,00,00
52784,00,00
52794,00,00
52805,00,00
52815,00,00
52825,00,00
52836,00,00
52847,00,00
52857,00,00
52867,00,00
52878,00,00
52889,00,00
52899,00,00
52909,00,00
52920,00,00
52930,00,00
52940,00,00
52950,00,00
52961,00,00
52972,00,00
52982,00,00
52993,00,00
53004,00,00
53014,00,00
53025,00,00
53035,00,00
53045,00,00
53055,00,00
53066,00,00
53076,00,00
53087,00,00
53097,00,00
53107,00,00
53118,00,00
53129,00,00
53139,00,00
53149,00,00
53160,00,00
53171,00,00
53181,00,00
53191,00,00
53202,00,00
53212,00,00
53222,00,00
53233,00,00
53243,00,00
53254,00,00
53264,00,00
53275,00,00
53285,00,00
53295,00,00
53306,00,00
53317,00,00
53327,00,00
53337,00,00
53348,00,00
53358,00,00
53369,00,00
53380,00,00
53390,00,00
53400,00,00
53411,00,00
53421,00,00
53431,00,00
53442,00,00
53453,00,00
53463,00,00
53474,00,00
53484,00,00
53495,00,00
53505,00,00
53515,00,00
53525,00,00
53536,00,00
53546,00,00
53557,00,00
53567,00,00
53577,00,00
53588,00,00
53598,00,00
53609,00,00
53619,00,00
53630,00,00
53640,00,00
53650,00,00
53661,00,00
53671,00,00
53681,00,00
53692,00,00
53702,00,00
53712,00,00
53723,00,00
53734,00,00
53744,00,00
53754,00,00
53765,00,00
53775,00,00
53786,00,00
53797,00,00
53807,00,00
53817,00,00
53827,00,00
53837,00,00
53848,00,00
53859,00,00
53869,00,00
53879,00,00
53889,00,00
53899,00,00
53910,00,00
53921,00,00
53931,00,00
53941,00,00
53952,00,00
53962,00,00
53972,00,00
53983,00,00
53994,00,00
54004,00,00
54015,00,00
54026,00,00
54036,00,00
54047,00,00
54057,00,00
54068,00,00
54078,00,00
54088,00,00
54099,00,00
54109,00,00
54120,00,00
54130,00,00
54140,00,00
54151,00,00
54161,00,00
54171,00,00
54183,00,00
54193,00,00
54203,00,00
54213,10,00
54224,10,00
54234,10,00
54245,10,00
54255,00,00
54265,00,00
54276,00,00
54286,00,00
54297,00,00
54307,00,00
54317,00,00
54328,00,00
54338,00,00
54348,00,00
54359,00,00
54369,00,00
54380,00,00
54391,00,00
54401,00,00
54411,00,00
54422,00,00
54432,00,00
54442,00,00
54453,00,00
54463,00,00
54474,00,00
54484,00,00
54495,00,00
54505,00,00
54516,00,00
54526,00,00
54536,00,00
54546,00,00
54557,00,00
54567,00,00
54578,00,00
54588,00,00
54599,00,00
54609,00,00
54620,00,00
54630,00,00
54641,00,00
54651,00,00
54662,00,00
54672,00,00
54682,00,00
54693,00,00
54703,00,00
54713,00,00
54724,00,00
54734,00,00
54744,00,00
54754,00,00
54765,00,00
54775,00,00
54785,00,00
54796,00,00
54807,00,00
54817,00,00
54827,00,00
54838,00,00
54848,00,00
54858,00,00
54869,00,00
54879,00,00
54889,00,00
54900,00,00
54911,00,00
54921,00,00
54931,00,00
54941,00,00
54952,00,00
54962,00,00
54973,00,00
54983,00,00
54993,00,00
55003,00,00
55014,00,00
55024,00,00
55035,00,00
55046,00,00
55056,00,00
55067,00,00
55078,00,00
55088,00,00
55098,00,00
55109,00,00
55120,00,00
55130,00,00
55140,00,00
55151,00,00
55161,00,00
55171,00,00
55182,00,00
55192,00,00
55203,00,00
55213,00,00
55224,00,00
55234,00,00
55245,00,00
55256,00,00
55266,00,00
55277,00,00
55287,00,00
55298,00,00
55308,00,00
55319,00,00
55329,00,00
55340,00,00
55351,00,00
55361,00,00
55371,00,00
55382,00,00
55392,00,00
55402,00,00
55413,00,00
55424,00,00
55435,00,00
55445,00,00
55456,00,00
55466,00,00
55477,00,00
55487,00,00
55497,00,00
55508,00,00
55518,00,00
55529,00,00
55539,00,00
55549,00,00
55560,00,00
55570,00,00
55581,00,00
55591,00,00
55602,00,00
55613,00,00
55623,00,00
55634,00,00
55644,00,00
55654,00,00
55664,00,00
55675,00,00
55685,00,00
55696,00,00
55706,00,00
55717,00,00
55727,00,00
55737,00,00
55748,00,00
55758,00,00
55769,00,00
55779,00,00
55790,00,00
55800,00,00
55810,00,00
55821,00,00
55831,00,00
55841,00,00
55852,00,00
55863,00,00
55873,00,00
55883,00,00
55894,00,00
55904,00,00
55914,00,00
55925,00,00
55936,00,00
55946,00,00
55956,00,00
55967,00,00
55977,00,00
55987,00,00
55997,00,00
56007,00,00
56018,00,00
56028,00,00
56039,00,00
56049,00,00
56060,00,00
56070,00,00
56081,00,00
56091,00,00
56101,00,00
56112,00,00
56122,00,00
56132,00,00
56142,00,00
56153,00,00
56163,00,00
56174,00,00
56184,00,00
56195,00,00
56206,00,00
56216,00,00
56227,00,00
56238,00,00
56248,00,00
56259,00,00
56269,00,00
56279,00,00
56290,00,00
56300,00,00
56310,00,00
56321,00,00
56332,00,00
56343,00,00
56353,00,00
56364,00,00
56374,00,00
56384,00,00
56395,00,00
56405,00,00
56415,00,00
56426,00,00
56436,00,00
56446,00,00
56457,00,00
56467,00,00
56478,00,00
56488,00,00
56498,00,00
56508,00,00
56518,00,00
56529,00,00
56540,00,00
56550,00,00
56560,00,00
56571,00,00
56581,00,00
56591,00,00
56602,00,00
56613,00,00
56623,00,00
56633,00,00
56643,00,00
56653,00,00
56664,00,00
56674,00,00
56684,00,00
56694,00,00
56705,00,00
56715,00,00
56726,00,00
56736,00,00
56747,00,00
56757,00,00
56768,00,00
56779,00,00
56789,00,00
56799,00,00
56810,00,00
56820,00,00
56830,00,00
56841,00,00
56851,00,00
56861,00,00
56872,00,00
56883,00,00
56893,00,00
56903,00,00
56914,00,00
56924,00,00
56934,00,00
56945,00,00
56956,00,00
56966,00,00
56977,00,00
56987,00,00
56997,00,00
57008,00,00
57018,00,00
57028,00,00
57039,00,00
57050,00,00
57060,00,00
57071,00,00
57081,00,00
57092,00,00
57102,00,00
57113,00,00
57123,00,00
57134,00,00
57144,00,00
57154,00,00
57165,00,00
57175,00,00
57185,00,00
57195,00,00
57206,00,00
57216,00,00
57226,00,00
57237,00,00
57247,00,00
57257,00,00
57267,00,00
57277,00,00
57288,00,00
57298,00,00
57308,00,00
57318,00,00
57328,00,00
57339,00,00
57349,00,00
57359,00,00
57369,00,00
57379,00,00
57390,00,00
57400,00,00
57410,00,00
57420,00,00
57431,00,00
57441,00,00
57451,00,00
57461,00,00
57471,00,00
57481,00,00
57492,00,00
57502,00,00
57512,00,00
57523,00,00
57534,00,00
57544,00,00
57554,00,00
57564,00,00
57575,00,00
57585,00,00
57595,00,00
57605,00,00
57615,00,00
57626,00,00
57636,00,00
57646,00,00
57657,00,00
57667,00,00
57677,00,00
57687,00,00
57698,00,00
57708,00,00
57718,00,00
57729,00,00
57739,00,00
57749,00,00
57759,00,00
57770,00,00
57780,00,00
57791,00,00
57801,00,00
57811,00,00
57821,00,00
57832,00,00
57842,00,00
57852,00,00
57863,00,00
57873,00,00
57883,00,00
57894,00,00
57905,00,00
57915,00,00
57925,00,00
57936,00,00
57946,00,00
57956,00,00
57967,00,00
57978,00,00
57988,00,00
57999,00,00
58009,00,00
58019,00,00
58029,00,00
58040,00,00
58050,00,00
58060,00,00
58071,00,00
58082,00,00
58092,00,00
58103,00,00
58114,00,00
58124,00,00
58135,00,00
58146,00,00
58156,00,00
58166,00,00
58177,00,00
58187,00,00
58197,00,00
58208,00,00
58218,00,00
58229,00,00
58239,00,00
58250,00,00
58260,00,00
58270,00,00
58281,00,00
58291,00,00
58301,00,00
58312,00,00
58322,00,00
58332,00,00
58343,00,00
58354,00,00
58364,00,00
58375,00,00
58386,00,00
58396,00,00
58406,00,00
58417,00,00
58427,00,00
58438,00,00
58448,00,00
58459,00,00
58469,00,00
58479,00,00
58490,00,00
58501,00,00
58511,00,00
58521,00,00
58531,00,00
58542,00,00
58552,00,00
58562,00,00
58572,00,00
58582,00,00
58593,00,00
58603,00,00
58613,00,00
58623,00,00
58633,00,00
58644,00,00
58654,00,00
58664,00,00
58674,00,00
58685,00,00
58695,00,00
58705,00,00
58715,00,00
58725,00,00
58735,00,00
58746,00,00
58757,00,00
58767,00,00
58777,00,00
58788,00,00
58799,00,00
58809,00,00
58820,00,00
58830,00,00
58840,00,00
58851,00,00
58861,00,00
58871,00,00
58882,00,00
58892,00,00
58902,00,00
58912,00,00
58923,00,00
58933,00,00
58944,00,00
58955,00,00
58965,00,00
58975,00,00
58986,00,00
58996,00,00
59006,00,00
59017,00,00
59027,00,00
59038,00,00
59048,00,00
59059,00,00
59069,00,00
59079,00,00
59090,00,00
59100,00,00
59111,00,00
59121,00,00
59132,00,00
59142,00,00
59152,00,00
59162,00,00
59173,00,00
59183,00,00
59194,00,00
59204,00,00
59214,00,00
59224,00,00
59234,00,00
59245,00,00
59256,00,00
59266,00,00
59276,00,00
59287,00,00
59297,00,00
59307,00,00
59318,00,00
59329,00,00
59339,00,00
59349,00,00
59360,00,00
59370,00,00
59380,00,00
59391,00,00
59402,00,00
59412,00,00
59423,00,00
59434,00,00
59444,00,00
59454,00,00
59465,00,00
59475,00,00
59485,00,00
59496,00,00
59507,00,00
59517,00,00
59527,00,00
59537,00,00
59548,00,00
59558,00,00
59568,00,00
59578,00,00
59589,00,00
59599,00,00
59609,00,00
59619,00,00
59630,00,00
59640,00,00
59650,00,00
59660,00,00
59671,00,00
59681,00,00
59691,00,00
59702,00,00
59713,00,00
59723,00,00
59733,10,00
59744,10,00
59754,10,00
59765,10,00
59775,10,00
59785,10,00
59796,10,00
59807,10,00
59817,10,00
59828,10,00
59838,10,00
59848,10,00
59858,00,00
59869,00,00
59880,10,00
59890,10,00
59901,10,00
59911,10,00
59921,10,00
59932,10,00
59942,11,00
59953,11,00
59963,11,00
59974,11,00
59985,11,00
59995,11,00
60006,11,00
60016,11,00
60026,11,00
60037,01,00
60048,00,00
60058,01,00
60068,01,00
60079,01,00
60090,01,00
60100,01,00
60111,01,00
60121,01,00
60132,01,00
60142,01,00
60152,01,00
60163,01,00
60173,01,00
60183,01,00
60193,01,00
60204,01,00
60214,01,00
60225,01,00
60235,00,10
60245,01,10
60256,01,10
60266,01,10
60277,01,10
60287,01,10
60297,01,10
60308,01,10
60319,01,10
60329,01,10
60339,01,10
60350,01,10
60360,00,10
60371,00,10
60381,00,10
60392,00,10
60402,00,10
60413,00,10
60423,00,10
60433,00,10
60444,00,10
60454,00,10
60465,00,10
60475,00,10
60486,00,11
60496,00,11
60507,00,11
60517,00,11
60527,00,11
60538,00,11
60548,00,11
60559,00,11
60569,00,11
60580,00,10
60590,00,10
60601,00,11
60611,00,11
60622,00,10
60632,00,10
60642,00,10
60653,00,11
60663,00,11
60673,00,11
60684,00,00
60694,00,00
60704,00,00
60715,00,00
60726,00,00
60736,00,00
60746,00,00
60757,00,00
60768,00,01
60778,00,00
60788,00,00
60799,00,00
60809,00,00
60819,00,00
60829,00,00
60839,00,00
60849,00,00
60860,00,00
60871,00,00
60881,00,00
60892,00,00
60903,00,00
60913,00,00
60923,00,00
60933,00,00
60944,00,00
60954,00,00
60964,00,00
60975,00,00
60985,00,00
60996,00,00
61006,00,00
61016,00,00
61027,00,00
61037,00,00
61048,00,00
61058,00,00
61068,00,00
61079,00,00
61089,00,00
61100,00,00
61110,00,00
61120,00,00
61131,00,00
61141,00,00
61152,00,00
61162,00,00
61173,00,00
61184,00,00
61194,00,00
61205,00,00
61215,00,00
61225,00,00
61236,00,00
61246,00,00
61257,00,00
61267,00,00
61278,00,00
61288,00,00
61298,00,00
61308,00,00
61319,00,00
61329,00,00
61339,00,00
61349,00,00
61359,00,00
61370,00,00
61380,00,00
61390,00,00
61401,00,00
61411,00,00
61421,00,00
61431,00,00
61442,00,00
61453,00,00
61463,00,00
61473,00,00
61484,00,00
61494,00,00
61504,00,00
61515,00,00
61525,00,00
61536,00,00
61546,00,00
61556,00,00
61566,00,00
61576,00,00
61587,00,00
61597,00,00
61607,00,00
61618,00,00
61628,00,00
61638,00,00
61649,00,00
61659,00,00
61669,00,00
61679,00,00
61690,00,00
61700,00,00
61711,00,00
61721,00,00
61732,00,00
61742,00,00
61753,00,00
61763,00,00
61774,00,00
61785,00,00
61796,00,00
61807,00,00
61818,00,00
61829,00,00
61839,00,00
61850,00,00
61860,00,00
61871,00,00
61881,00,00
61891,00,00
61902,00,00
61912,00,00
61922,00,00
61933,00,00
61944,00,00
61954,00,00
61965,00,00
61975,00,00
61986,00,00
61997,00,00
62007,00,00
62018,00,00
62029,00,00
62039,00,00
62049,00,00
62062,00,00
62074,00,00
62084,00,00
62095,00,00
62106,00,00
62117,00,00
62127,00,00
62137,00,00
62148,00,00
62158,00,00
62169,00,00
62180,00,00
62191,00,00
62201,00,00
62212,00,00
62222,00,00
62233,00,00
62244,00,00
62254,00,00
62265,00,00
62276,00,00
62287,00,00
62297,00,00
62308,00,00
62319,00,00
62329,00,00
62340,00,00
62350,00,00
62360,00,00
62370,00,00
62380,00,00
62391,00,00
62401,00,00
62411,00,00
62422,00,00
62432,00,00
62442,00,00
